N,Nodes,Iteration,Send_Time,Comp_Time,Recv_Time,Total_Time,Status
10000,2,1,0.000212,0.290462,0.018021,0.308695,OK
10000,2,2,0.000192,0.278254,0.000116,0.278561,OK
10000,2,3,0.000199,0.301559,0.024023,0.325781,OK
10000,2,4,0.000162,0.258170,0.000114,0.258446,OK
10000,4,1,0.067995,0.223085,0.000106,0.291187,OK
10000,4,2,0.047984,0.206856,0.000103,0.254943,OK
10000,4,3,0.080006,0.239338,0.000110,0.319454,OK
10000,4,4,0.067993,0.239234,0.000103,0.307330,OK
10000,8,1,0.059977,0.145560,0.000252,0.205789,OK
10000,8,2,0.050932,0.112551,0.000113,0.163596,OK
10000,8,3,0.091978,0.112597,0.000111,0.204686,OK
10000,8,4,0.050810,0.120485,0.000106,0.171401,OK
10000,16,1,0.135975,0.080563,0.000252,0.216790,OK
10000,16,2,0.097661,0.072919,0.003870,0.174450,OK
10000,16,3,0.111243,0.076479,0.008931,0.196654,OK
10000,16,4,0.140022,0.058359,0.008565,0.206946,OK
10000,32,1,0.127977,0.038382,0.001544,0.167902,OK
10000,32,2,0.080395,0.031659,0.023940,0.135994,OK
10000,32,3,0.097018,0.036722,0.019997,0.153738,OK
10000,32,4,0.099865,0.035882,0.010883,0.146630,OK
10000,64,1,0.075737,0.020993,0.023943,0.120674,OK
10000,64,2,0.109245,0.017468,0.002647,0.129360,OK
10000,64,3,0.104934,0.021270,0.014811,0.141014,OK
10000,64,4,0.104386,0.018100,0.016023,0.138508,OK
50000,2,1,0.000503,5.696230,0.000464,5.697197,OK
50000,2,2,0.000477,5.356479,0.000460,5.357416,OK
50000,2,3,0.000470,5.695075,0.006076,5.701621,OK
50000,2,4,0.000437,5.920055,0.013294,5.933786,OK
50000,4,1,0.074167,5.204622,0.024155,5.302944,OK
50000,4,2,0.000776,5.882109,0.008116,5.891002,OK
50000,4,3,0.000825,4.792871,0.008257,4.801953,OK
50000,4,4,0.000794,5.232883,0.000532,5.234210,OK
50000,8,1,0.252183,3.024386,0.012155,3.288723,OK
50000,8,2,0.299583,3.046158,0.021851,3.367592,OK
50000,8,3,0.084015,3.026800,0.024053,3.134868,OK
50000,8,4,0.253386,3.026481,0.024032,3.303899,OK
50000,16,1,0.276065,1.826282,0.002002,2.104349,OK
50000,16,2,0.274629,1.918582,0.001305,2.194516,OK
50000,16,3,0.273971,1.874959,0.012852,2.161783,OK
50000,16,4,0.376087,1.821378,0.001476,2.198941,OK
50000,32,1,0.290389,0.928275,0.002235,1.220898,OK
50000,32,2,0.128715,0.846246,0.004531,0.979492,OK
50000,32,3,0.189325,0.850339,0.008631,1.048296,OK
50000,32,4,0.281421,0.901354,0.010351,1.193126,OK
50000,64,1,0.309727,0.384337,0.002348,0.696411,OK
50000,64,2,0.257260,0.314997,0.019217,0.591475,OK
50000,64,3,0.309260,0.395379,0.008375,0.713015,OK
50000,64,4,0.285691,0.329831,0.011977,0.627499,OK
100000,2,1,0.000998,20.383626,0.000891,20.385515,OK
100000,2,2,0.000858,21.206625,0.000896,21.208379,OK
100000,2,3,0.000887,21.781732,0.000884,21.783503,OK
100000,2,4,0.000891,21.217553,0.000914,21.219357,OK
100000,4,1,0.020804,21.399636,0.022694,21.443134,OK
100000,4,2,0.001568,20.818895,0.012980,20.833442,OK
100000,4,3,0.180432,22.532627,0.048072,22.761130,OK
100000,4,4,0.108600,22.053924,0.000978,22.163502,OK
100000,8,1,0.440334,11.854953,0.025296,12.320582,OK
100000,8,2,0.526076,12.136900,0.011185,12.674161,OK
100000,8,3,0.476038,13.777639,0.030529,14.284206,OK
100000,8,4,0.277079,13.341735,0.020102,13.638916,OK
100000,16,1,0.188095,7.551240,0.012154,7.751488,OK
100000,16,2,0.374273,7.336726,0.008026,7.719025,OK
100000,16,3,0.369698,7.234246,0.023726,7.627669,OK
100000,16,4,0.236316,10.000364,0.024084,10.260763,OK
100000,32,1,0.097171,3.402705,0.012014,3.511890,OK
100000,32,2,0.455122,3.527714,0.022407,4.005243,OK
100000,32,3,0.312042,3.399309,0.018431,3.729782,OK
100000,32,4,0.392435,4.155076,0.002346,4.549856,OK
100000,64,1,0.527410,1.735295,0.031510,2.294216,OK
100000,64,2,0.525365,1.830029,0.023041,2.378435,OK
100000,64,3,0.336281,1.941707,0.024024,2.302011,OK
100000,64,4,0.408290,1.272040,0.003192,1.683522,OK
200000,2,1,0.001674,86.572095,0.002020,86.575789,OK
200000,2,2,0.001680,91.140062,0.021748,91.163491,OK
200000,2,3,0.001673,86.359397,0.001795,86.362865,OK
200000,2,4,0.013713,84.837717,0.001796,84.853227,OK
200000,4,1,0.105491,84.773090,0.144004,85.022585,OK
200000,4,2,0.087292,114.347634,0.053885,114.488811,OK
200000,4,3,0.015319,97.619026,0.008876,97.643222,OK
200000,4,4,0.137046,92.312904,0.030004,92.479954,OK
200000,8,1,0.229126,50.280399,0.016210,50.525735,OK
200000,8,2,1.088066,49.261087,0.024067,50.373220,OK
200000,8,3,0.657259,55.693347,0.080064,56.430670,OK
200000,8,4,0.504126,48.202378,0.034031,48.740535,OK
200000,16,1,0.491607,31.383667,0.025984,31.901258,OK
200000,16,2,0.313750,18.735577,0.020784,19.070111,OK
200000,16,3,0.377270,18.805140,0.027647,19.210057,OK
200000,16,4,0.469091,20.435318,0.020806,20.925215,OK
200000,32,1,0.176301,8.446909,0.032032,8.655241,OK
200000,32,2,0.182438,7.339679,0.017474,7.539590,OK
200000,32,3,0.202911,7.303883,0.002361,7.509155,OK
200000,32,4,0.167669,7.336581,0.008035,7.512285,OK
200000,64,1,0.277048,5.569359,0.015366,5.861774,OK
200000,64,2,0.130443,6.138256,0.010398,6.279097,OK
200000,64,3,0.193751,6.721257,0.004701,6.919709,OK
200000,64,4,0.121799,7.184552,0.003342,7.309693,OK
